title,year,authors,affiliations,abstract,doi,article type,abstract_raw,abstract_clean
Optimisation of Land Purchasing and Management Using Mixed Integer Programming: A Case Study in a Portuguese Municipal Authority,1985.0,"Correia, P V D; Madden, M",Instituto Superior Técnico; University of Liverpool,in this paper a general framework is discussed within which a municipal authority can assess future need for certain public service within it area and can develop a programme for land purchase within a fixed budget concentration is on developing an optimising model using mixed integer programming technique to identify available plot of land and to earmark them for specific land us a range of constraint is discussed and a set of subsidy and penalty arising out of a solution method due to balas explained with reference to the local municipality of coimbra in central portugal is presented,10.1068/b120335,Research article,"In this paper a general framework is discussed within which a municipal authority can assess future needs for certain public services within its area and can develop a programme for land purchase within a fixed budget. Concentration is on developing an optimising model, using mixed integer programming techniques, to identify available plots of land and to earmark them for specific land uses. A range of constraints is discussed, and a set of subsidies and penalties arising out of a solution method due to Balas, explained with reference to the local municipality of Coimbra in central Portugal, is presented.",in this paper a general framework is discussed within which a municipal authority can assess future need for certain public service within it area and can develop a programme for land purchase within a fixed budget concentration is on developing an optimising model using mixed integer programming technique to identify available plot of land and to earmark them for specific land us a range of constraint is discussed and a set of subsidy and penalty arising out of a solution method due to balas explained with reference to the local municipality of coimbra in central portugal is presented
"A Monte Carlo Simulation Approach to Solving Multicriteria Optimisation Problems Related to Planmaking, Evaluation, and Monitoring in Local Planning",1985.0,"Openshaw, S; Whitehead, P",Newcastle University,in this paper micro dot a version of the familiar dot program based on a monte carlo solution procedure is introduced it offer a way of exploiting the potential of microcomputer by offering a mean of coping with large multicriteria optimisation problem relevant to practical planning the technique is demonstrated by reference to a local planning case study based on the red lane action area plan produced by coventry city council,10.1068/b120321,Research article,"In this paper, micro-DOT—a version of the familiar DOT program based on a Monte Carlo solution procedure—is introduced. It offers a way of exploiting the potential of microcomputers by offering a means of coping with large multicriteria optimisation problems relevant to practical planning. The technique is demonstrated by reference to a local planning case study based on “The Red Lane Action Area Plan” produced by Coventry City Council.",in this paper micro dot a version of the familiar dot program based on a monte carlo solution procedure is introduced it offer a way of exploiting the potential of microcomputer by offering a mean of coping with large multicriteria optimisation problem relevant to practical planning the technique is demonstrated by reference to a local planning case study based on the red lane action area plan produced by coventry city council
The Gateshead Shopping and Information Service,1985.0,"Davies, R L",Eton College,the gateshead shopping and information service si is an unusual experiment in computerised home shopping in that it is oriented to disadvantaged consumer mainly the elderly and disabled rather than to affluent section of the population the immediate objective are to explore the utility and effectiveness of new information technology for helping immobile shopper but more broadly the organiser are seeking to address the concern that commercial teleshopping development might prove to be socially divisive unless special complementary service are also provided for the less well off this paper is a review of the progress of the experiment to date and a consideration of what problem and prospect lie ahead,10.1068/b120209,Research article,The Gateshead Shopping and Information Service (SIS) is an unusual experiment in computerised ‘home shopping’ in that it is oriented to disadvantaged consumers (mainly the elderly and disabled) rather than to affluent sections of the population. The immediate objectives are to explore the utilities and effectiveness of new information technologies for helping immobile shoppers; but more broadly the organisers are seeking to address the concern that commercial teleshopping developments might prove to be socially divisive unless special complementary services are also provided for the less well-off. This paper is a review of the progress of the experiment to date and a consideration of what problems and prospects lie ahead.,the gateshead shopping and information service si is an unusual experiment in computerised home shopping in that it is oriented to disadvantaged consumer mainly the elderly and disabled rather than to affluent section of the population the immediate objective are to explore the utility and effectiveness of new information technology for helping immobile shopper but more broadly the organiser are seeking to address the concern that commercial teleshopping development might prove to be socially divisive unless special complementary service are also provided for the less well off this paper is a review of the progress of the experiment to date and a consideration of what problem and prospect lie ahead
"Uncertainty in Planning: Characterisation, Evaluation, and Feedback",1985.0,"Pearman, A D",University of Leeds,uncertainty is a double edged sword for the planner without it society s need for strategic planning would be much reduced but it existence is often at the root of much of the criticism which public perception of the planning profession induce in this paper it is argued that not only is the need to take proper account of uncertainty greater than ever before but so too are the opportunity to do so in practice three aspect of the uncertainty question are analysed how should uncertainty be characterised within the planning process what influence should the presence of uncertainty have on evaluation procedure how should plan design respond to the presence of uncertainty it is concluded that increasingly the required formal technique and computational capacity are available planner must be sure to use them to good effect,10.1068/b120313,Research article,"Uncertainty is a double-edged sword for the planner. Without it, society's need for strategic planning would be much reduced, but its existence is often at the root of much of the criticism which public perceptions of the planning profession induce. In this paper it is argued that not only is the need to take proper account of uncertainty greater than ever before, but so too are the opportunities to do so in practice. Three aspects of the uncertainty question are analysed. How should uncertainty be characterised within the planning process? What influence should the presence of uncertainty have on evaluation procedures? How should plan design respond to the presence of uncertainty? It is concluded that increasingly the required formal techniques and computational capacity are available: planners must be sure to use them to good effect.",uncertainty is a double edged sword for the planner without it society s need for strategic planning would be much reduced but it existence is often at the root of much of the criticism which public perception of the planning profession induce in this paper it is argued that not only is the need to take proper account of uncertainty greater than ever before but so too are the opportunity to do so in practice three aspect of the uncertainty question are analysed how should uncertainty be characterised within the planning process what influence should the presence of uncertainty have on evaluation procedure how should plan design respond to the presence of uncertainty it is concluded that increasingly the required formal technique and computational capacity are available planner must be sure to use them to good effect
Spatial Systems in Architecture and Design: Some History and Logic,1985.0,"March, L; Stiny, G","Royal College of Art, Kensington Gore, London SW7 2EU, England; Royal College of Art, Kensington Gore, London SW7 2EU, England",in the past decade a powerful generative approach to shape and spatial system ha been developed in parallel with the introduction of computer aid in the design process this new approach allows for design and their meaning to be viewed a the result of computation carried out according to rule of composition and correlative rule of description some of the history and logic of these development is surveyed in this paper,10.1068/b120031,Research article,"In the past decade, a powerful generative approach to shape and spatial systems has been developed in parallel with the introduction of computer aids in the design process. This new approach allows for designs and their meanings to be viewed as the results of computations carried out according to rules of composition and correlative rules of description. Some of the history and logic of these developments is surveyed in this paper.",in the past decade a powerful generative approach to shape and spatial system ha been developed in parallel with the introduction of computer aid in the design process this new approach allows for design and their meaning to be viewed a the result of computation carried out according to rule of composition and correlative rule of description some of the history and logic of these development is surveyed in this paper
On Forecasting Choice among Dependent Spatial Alternatives,1985.0,"Roy, J R","Division of Building Research, Commonwealth Scientific and Industrial Research Organization, PO Box 56, Highett, Victoria 3190, Australia",most current model of spatial interaction are structured so that a change to an existing spatial alternative or the introduction of a new alternative will not change the ratio of flow from any constrained origin to any pair of unchanged destination alternative this recently identified weakness may because minor problem when small change occur in case where the distribution of origin and destination is relatively homogeneous however where facility are not distributed uniformly and spatial substitution or agglomeration effect are observed to occur this restrictive property known a iia independence from irrelevant alternative can because the model to produce counterintuitive result in this paper this limitation is overcome using an information theoretic approach where additional information is provided on the entropy of aggregated alternative which best capture any hierarchical element in the spatial choice process suggestion are made on model structure suited to different forecasting application and the principle are illustrated by a small numerical example,10.1068/b120479,Research article,"Most current models of spatial interaction are structured so that a change to an existing spatial alternative or the introduction of a new alternative will not change the ratio of flows from any constrained origin to any pair of unchanged destination alternatives. This recently identified weakness may cause minor problems when small changes occur in cases where the distribution of origins and destinations is relatively homogeneous. However, where facilities are not distributed uniformly and spatial substitution or agglomeration effects are observed to occur, this restrictive property, known as IIA (independence from irrelevant alternatives), can cause the models to produce counterintuitive results. In this paper this limitation is overcome using an information-theoretic approach, where additional information is provided on the entropy of aggregated alternatives which best capture any hierarchical elements in the spatial choice process. Suggestions are made on model structures suited to different forecasting applications, and the principles are illustrated by a small numerical example.",most current model of spatial interaction are structured so that a change to an existing spatial alternative or the introduction of a new alternative will not change the ratio of flow from any constrained origin to any pair of unchanged destination alternative this recently identified weakness may because minor problem when small change occur in case where the distribution of origin and destination is relatively homogeneous however where facility are not distributed uniformly and spatial substitution or agglomeration effect are observed to occur this restrictive property known a iia independence from irrelevant alternative can because the model to produce counterintuitive result in this paper this limitation is overcome using an information theoretic approach where additional information is provided on the entropy of aggregated alternative which best capture any hierarchical element in the spatial choice process suggestion are made on model structure suited to different forecasting application and the principle are illustrated by a small numerical example
Facility Layout Optimization Using the Metropolis Algorithm,1985.0,"Sharpe, R; Marksjö, B S","Commonwealth Scientific and Industrial Research Organization, Division of Building Research, PO Box 56, Highett, Victoria 3190, Australia; Commonwealth Scientific and Industrial Research Organization, Division of Building Research, PO Box 56, Highett, Victoria 3190, Australia",a radically new approach to facility layout optimization involving nonconvex quadratic assignment problem is presented the approach us a simulated annealing technique originally developed to solve problem in statistical mechanic by metropolis et al and recently applied to vlsi chip design problem the metropolis algorithm is relatively simple to apply and a microcomputer model called topmet ha been developed topmet is shown to produce superior solution to some of the more popular computer planning technique and hand generated method the algorithm also lends itself readily to user interaction and colour graphic display and it application is illustrated by a practical building problem extension into artificial intelligence are discussed,10.1068/b120443,Research article,"A radically new approach to facility layout optimization involving nonconvex quadratic assignment problems is presented. The approach uses a simulated annealing technique originally developed to solve problems in statistical mechanics by Metropolis et al, and recently applied to VLSI chip design problems. The Metropolis algorithm is relatively simple to apply and a microcomputer model called TOPMET has been developed. TOPMET is shown to produce superior solutions to some of the more popular computer-planning techniques and hand-generated methods. The algorithm also lends itself readily to user interaction and colour graphics display, and its application is illustrated by a practical building problem. Extensions into artificial intelligence are discussed.",a radically new approach to facility layout optimization involving nonconvex quadratic assignment problem is presented the approach us a simulated annealing technique originally developed to solve problem in statistical mechanic by metropolis et al and recently applied to vlsi chip design problem the metropolis algorithm is relatively simple to apply and a microcomputer model called topmet ha been developed topmet is shown to produce superior solution to some of the more popular computer planning technique and hand generated method the algorithm also lends itself readily to user interaction and colour graphic display and it application is illustrated by a practical building problem extension into artificial intelligence are discussed
Design Knowledge and Context,1985.0,"Coyne, R D; Gero, J S","Computer Applications Research Unit, Department of Architectural Science, University of Sydney, NSW 2006, Australia; Computer Applications Research Unit, Department of Architectural Science, University of Sydney, NSW 2006, Australia",design is regarded here a the generation of a language of design from a grammar we consider the application of context sensitive grammar to design meaning in design is equated with purposeful design activity where mechanism are devised for finding state which match goal regression is discussed a a tool for goal satisfaction using context sensitive grammar some of the complexity of implementation introduced by contextual consideration are handled by hierarchical planning the idea are demonstrated by mean of an example where the artifact is a simple building form which is to fit into a site context the example ha been implemented in prolog,10.1068/b120419,Research article,Design is regarded here as the generation of a language of designs from a grammar. We consider the application of context sensitive grammars to design. Meaning in design is equated with purposeful design activity where mechanisms are devised for finding states which match goals. Regression is discussed as a tool for goal satisfaction using context sensitive grammars. Some of the complexities of implementation introduced by contextual considerations are handled by hierarchical planning. The ideas are demonstrated by means of an example where the artifact is a simple building form which is to fit into a site context. The example has been implemented in PROLOG.,design is regarded here a the generation of a language of design from a grammar we consider the application of context sensitive grammar to design meaning in design is equated with purposeful design activity where mechanism are devised for finding state which match goal regression is discussed a a tool for goal satisfaction using context sensitive grammar some of the complexity of implementation introduced by contextual consideration are handled by hierarchical planning the idea are demonstrated by mean of an example where the artifact is a simple building form which is to fit into a site context the example ha been implemented in prolog
"Order through Fluctuations, and Systems Dynamics Models",1985.0,"Aracil, J; Ponce, E; Freire, E",Universidad de Sevilla,in this paper the relationship is analysed between forrester s system dynamic and prigogine s dissipative structure a methodology for socioeconomic system modeling to obtain nonhomogeneous equilibrium state a dissipative structure a classical elementary system dynamic model is provided with a linear diffusion mechanism the study is based on qualitative and bifurcation analysis technique to this end specific numerical method have been developed,10.1068/b120103,Research article,"In this paper the relationship is analysed between Forrester's systems dynamics and Prigogine's dissipative structures as methodologies for socioeconomic systems modeling. To obtain nonhomogeneous equilibrium states (a dissipative structure) a classical elementary systems dynamics model is provided with a linear diffusion mechanism. The study is based on qualitative and bifurcation analysis techniques; to this end, specific numerical methods have been developed.",in this paper the relationship is analysed between forrester s system dynamic and prigogine s dissipative structure a methodology for socioeconomic system modeling to obtain nonhomogeneous equilibrium state a dissipative structure a classical elementary system dynamic model is provided with a linear diffusion mechanism the study is based on qualitative and bifurcation analysis technique to this end specific numerical method have been developed
Teleshopping in North America,1985.0,"Howard, E B","Department of Geography, University of Newcastle upon Tyne, Newcastle upon Tyne, NE1 7RU, England",north american development in teleshopping are more numerous than those in britain in this paper are reviewed the experiment that have taken place and it is shown that development of new interactive cabled service provided to the home have not been led by the retail industry the banking entertainment and publishing industry are providing and using the new form of communication new form of retailing have often been seen in north america ahead of those in britain but it is suggested that britain may have a greater potential for the growth of teleshopping than north america,10.1068/b120141,Research article,"North American developments in teleshopping are more numerous than those in Britain. In this paper are reviewed the experiments that have taken place and it is shown that developments of new interactive cabled services provided to the home have not been led by the retail industry. The banking, entertainment, and publishing industries are providing and using the new forms of communication. New forms of retailing have often been seen in North America ahead of those in Britain, but it is suggested that Britain may have a greater potential for the growth of teleshopping than North America.",north american development in teleshopping are more numerous than those in britain in this paper are reviewed the experiment that have taken place and it is shown that development of new interactive cabled service provided to the home have not been led by the retail industry the banking entertainment and publishing industry are providing and using the new form of communication new form of retailing have often been seen in north america ahead of those in britain but it is suggested that britain may have a greater potential for the growth of teleshopping than north america
Dynamical Systems Theory and Complicated Economic Behavior,1985.0,"Day, R H","Modelling Research Group, University of Southern California, University Park, Los Angeles, CA 90007, USA",recent development in mathematics show that more or less random behavior and spontaneously evolving structure can be given analytical and deterministic representation empirical simulation and theoretical model have been developed in economics that have similar capacity this suggests that we are entering a new period when structural change and inherently unpredictable event can be explained or understood in term of endogenous economic force in this paper several important related development in dynamical system theory and in mathematical economics are outlined,10.1068/b120055,Research article,Recent developments in mathematics show that more-or-less random behavior and spontaneously evolving structures can be given analytical and deterministic representations. Empirical simulation and theoretical models have been developed in economics that have similar capacities. This suggests that we are entering a new period when structural change and inherently unpredictable events can be explained or understood in terms of endogenous economic forces. In this paper several important related developments in dynamical systems theory and in mathematical economics are outlined.,recent development in mathematics show that more or less random behavior and spontaneously evolving structure can be given analytical and deterministic representation empirical simulation and theoretical model have been developed in economics that have similar capacity this suggests that we are entering a new period when structural change and inherently unpredictable event can be explained or understood in term of endogenous economic force in this paper several important related development in dynamical system theory and in mathematical economics are outlined
Logic Programming as a Means of Representing Semantics in Design Languages,1985.0,"Gero, J S; Coyne, R D","Computer Applications Research Unit, Department of Architectural Science, University of Sydney, NSW 2006, Australia; Computer Applications Research Unit, Department of Architectural Science, University of Sydney, NSW 2006, Australia",logic programming is discussed a a method for representing aspect of design language description of design domain knowledge transformation rule design grammar and control mechanism necessary to implement rule the applicability of logic programming to the representation of semantics in design is also explored control at the semantic level provides a mean of directing the automated generation of design example are drawn from a rule based design system written in the logic programming language prolog,10.1068/b120351,Research article,"Logic programming is discussed as a method for representing aspects of design language: descriptions of designs, domain knowledge, transformation rules (design grammar), and control mechanisms necessary to implement rules. The applicability of logic programming to the representation of semantics in design is also explored. Control at the semantic level provides a means of directing the automated generation of designs. Examples are drawn from a rule-based design system written in the logic programming language PROLOG.",logic programming is discussed a a method for representing aspect of design language description of design domain knowledge transformation rule design grammar and control mechanism necessary to implement rule the applicability of logic programming to the representation of semantics in design is also explored control at the semantic level provides a mean of directing the automated generation of design example are drawn from a rule based design system written in the logic programming language prolog
